slug	task	algo	seed	reference_return	reference_frame	selection_status	run_id	commit	metadata_path	config_path	config_sha256	source_status
ant__ppo	Isaac-Ant-v0	ppo	1	142.7692398	200024064	strict_200m_terminal_best	6w7xfwug	6ca3ecae50d3e0e52cff5fdcef57552c7402d927	logs/ppo/isaaclab-baseline-final-200m/Isaac-Ant-v0/Isaac-Ant-v0-ppo-seed1/wandb/run-20260521_105118-6w7xfwug/files/wandb-metadata.json	logs/ppo/isaaclab-baseline-final-200m/Isaac-Ant-v0/Isaac-Ant-v0-ppo-seed1/config.yaml	1f152a2272060450f51ceacd2e1810d92882097b3fb9474195e4c9317dc0ef45	recorded_commit_agent_source
ant__dppo	Isaac-Ant-v0	dppo	5	23.35222939	200024064	strict_200m_terminal_best	tcy0qv8u	6ca3ecae50d3e0e52cff5fdcef57552c7402d927	logs/dppo/isaaclab-baseline-final-200m/Isaac-Ant-v0/Isaac-Ant-v0-dppo-seed5/wandb/run-20260522_180228-tcy0qv8u/files/wandb-metadata.json	logs/dppo/isaaclab-baseline-final-200m/Isaac-Ant-v0/Isaac-Ant-v0-dppo-seed5/config.yaml	51c275b1d62ef47a9d9e9959e698ed0f6479af9c87c0b1e300e71155d07b6f53	recorded_commit_agent_source
ant__fpo	Isaac-Ant-v0	fpo	3	124.0165516	200024064	strict_200m_terminal_best	29ivx0x7	6ca3ecae50d3e0e52cff5fdcef57552c7402d927	logs/fpo/isaaclab-baseline-final-200m/Isaac-Ant-v0/Isaac-Ant-v0-fpo-seed3/wandb/run-20260524_021153-29ivx0x7/files/wandb-metadata.json	logs/fpo/isaaclab-baseline-final-200m/Isaac-Ant-v0/Isaac-Ant-v0-fpo-seed3/config.yaml	5776bd9c16f08d74f0991ba9ad4ec3a94be0c6aa252f37880824760454846f58	recorded_commit_agent_plus_compat_symbol_overlay
ant__fpopp	Isaac-Ant-v0	fpopp	6	120.3828642	200024064	strict_200m_terminal_best	0dimchzz	6ca3ecae50d3e0e52cff5fdcef57552c7402d927	logs/fpopp/isaaclab-baseline-final-200m/Isaac-Ant-v0/Isaac-Ant-v0-fpopp-seed6/wandb/run-20260525_201806-0dimchzz/files/wandb-metadata.json	logs/fpopp/isaaclab-baseline-final-200m/Isaac-Ant-v0/Isaac-Ant-v0-fpopp-seed6/config.yaml	aeb38f6f09ee15b90002b36280a9a670464c994a43a1be2dafa6df90ca8498e2	recorded_commit_agent_source
ant__genpo	Isaac-Ant-v0	genpo	9	121.716355	200024064	strict_200m_terminal_best	hypsi3k3	6ca3ecae50d3e0e52cff5fdcef57552c7402d927	logs/genpo/isaaclab-baseline-final-200m/Isaac-Ant-v0/Isaac-Ant-v0-genpo-seed9/wandb/run-20260528_173140-hypsi3k3/files/wandb-metadata.json	logs/genpo/isaaclab-baseline-final-200m/Isaac-Ant-v0/Isaac-Ant-v0-genpo-seed9/config.yaml	b11f1be35fbbaab7b33ca947482c8e287188ba682ea4f01548a6ea60a51f882a	recorded_commit_agent_source
ant__policyflow	Isaac-Ant-v0	policyflow	4	131.7221804	200024064	strict_200m_terminal_best	hf4ktrmn	6ca3ecae50d3e0e52cff5fdcef57552c7402d927	logs/policyflow/isaaclab-baseline-final-200m/Isaac-Ant-v0/Isaac-Ant-v0-policyflow-seed4/wandb/run-20260603_095606-hf4ktrmn/files/wandb-metadata.json	logs/policyflow/isaaclab-baseline-final-200m/Isaac-Ant-v0/Isaac-Ant-v0-policyflow-seed4/config.yaml	ff2b1a56cf4902d3790bc8b896833d3241569c86f48f53a8a1f21b69c844e8f4	best_available_uncommitted_policyflow_overlay
cartpole__ppo	Isaac-Cartpole-v0	ppo	8	4.961344616	200024064	strict_200m_terminal_best	wz0tw0jz	6ca3ecae50d3e0e52cff5fdcef57552c7402d927	logs/ppo/isaaclab-baseline-final-200m/Isaac-Cartpole-v0/Isaac-Cartpole-v0-ppo-seed8/wandb/run-20260521_095652-wz0tw0jz/files/wandb-metadata.json	logs/ppo/isaaclab-baseline-final-200m/Isaac-Cartpole-v0/Isaac-Cartpole-v0-ppo-seed8/config.yaml	f571a338b06051e37bef9f0aae00577c344b9227fa425fb406eb665380719d10	recorded_commit_agent_source
cartpole__dppo	Isaac-Cartpole-v0	dppo	0	-1.359330636	200024064	strict_200m_terminal_best	rqomqyrb	6ca3ecae50d3e0e52cff5fdcef57552c7402d927	logs/dppo/isaaclab-baseline-final-200m/Isaac-Cartpole-v0/Isaac-Cartpole-v0-dppo-seed0/wandb/run-20260522_135054-rqomqyrb/files/wandb-metadata.json	logs/dppo/isaaclab-baseline-final-200m/Isaac-Cartpole-v0/Isaac-Cartpole-v0-dppo-seed0/config.yaml	50894ba873447400aac8dd29d9284498ec56d65bd05a0dfb370330c2cacc6119	recorded_commit_agent_source
cartpole__fpo	Isaac-Cartpole-v0	fpo	6	4.95911407	200024064	strict_200m_terminal_best	wzh41oon	6ca3ecae50d3e0e52cff5fdcef57552c7402d927	logs/fpo/isaaclab-baseline-final-200m/Isaac-Cartpole-v0/Isaac-Cartpole-v0-fpo-seed6/wandb/run-20260524_015910-wzh41oon/files/wandb-metadata.json	logs/fpo/isaaclab-baseline-final-200m/Isaac-Cartpole-v0/Isaac-Cartpole-v0-fpo-seed6/config.yaml	78fbce5ee2d90a28dbc399084036c1fc963dda247918237c2e775ed2f89c091e	recorded_commit_agent_plus_compat_symbol_overlay
cartpole__fpopp	Isaac-Cartpole-v0	fpopp	4	4.877178333	200024064	strict_200m_terminal_best	2e6h7qtg	6ca3ecae50d3e0e52cff5fdcef57552c7402d927	logs/fpopp/isaaclab-baseline-final-200m/Isaac-Cartpole-v0/Isaac-Cartpole-v0-fpopp-seed4/wandb/run-20260525_171550-2e6h7qtg/files/wandb-metadata.json	logs/fpopp/isaaclab-baseline-final-200m/Isaac-Cartpole-v0/Isaac-Cartpole-v0-fpopp-seed4/config.yaml	33f68e4160fc0bf862deea198921bde6a7f912d850c3bf5936b7f952cdf92fd3	recorded_commit_agent_source
